t: 0.200859
nCells: 20x20, dx: 0.1, dx: 0.1
u (21x22):
             5|     -0.003748     -0.003748     -0.003675     -0.003529     -0.003313     -0.003035     -0.002701     -0.002321     -0.001905     -0.001462     -0.001003    -0.0005381    -7.877e-05     0.0003648      0.000782      0.001163      0.001497      0.001777      0.001993       0.00214      0.002213      0.002213
             4|     -0.003455     -0.003455      -0.00339     -0.003259     -0.003065     -0.002815     -0.002515     -0.002172     -0.001796     -0.001396    -0.0009803    -0.0005598    -0.0001442     0.0002568     0.0006335     0.0009767      0.001278      0.001528      0.001722      0.001854       0.00192       0.00192
             3|      -0.00323      -0.00323      -0.00317     -0.003051     -0.002874     -0.002646     -0.002371     -0.002057     -0.001712     -0.001344    -0.0009629    -0.0005766     -0.000195     0.0001731     0.0005185     0.0008328      0.001108      0.001337      0.001514      0.001634      0.001694      0.001694
             2|     -0.003066     -0.003066     -0.003011     -0.002899     -0.002735     -0.002522     -0.002266     -0.001973     -0.001651     -0.001307    -0.0009502     -0.000589    -0.0002321     0.0001119     0.0004346     0.0007279     0.0009846      0.001198      0.001363      0.001474       0.00153       0.00153
             1|      -0.00296      -0.00296     -0.002907     -0.002801     -0.002645     -0.002442     -0.002198     -0.001918     -0.001611     -0.001283    -0.0009419     -0.000597    -0.0002562      7.21e-05       0.00038     0.0006597     0.0009044      0.001108      0.001265      0.001371      0.001424      0.001424
             0|     -0.002909     -0.002909     -0.002857     -0.002754     -0.002601     -0.002403     -0.002164     -0.001892     -0.001591     -0.001271    -0.0009379    -0.0006009     -0.000268     5.275e-05     0.0003534     0.0006266     0.0008654      0.001064      0.001217      0.001321      0.001372      0.001372
            -1|     -0.002909     -0.002909     -0.002857     -0.002754     -0.002601     -0.002403     -0.002164     -0.001892     -0.001591     -0.001271    -0.0009379    -0.0006009     -0.000268     5.275e-05     0.0003534     0.0006266     0.0008654      0.001064      0.001217      0.001321      0.001372      0.001372

f (21x22):
              |            -1             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
            20|             0         1.983         1.976         1.973         1.971         1.971          1.97          1.97         1.969         1.969         1.969         1.969         1.969          1.97          1.97          1.97         1.971         1.973         1.976         1.983             0
            19|             0       0.02171        0.0285       0.03164        0.0333       0.03428       0.03489       0.03528       0.03553       0.03566       0.03571       0.03567       0.03554       0.03531       0.03493       0.03433       0.03338       0.03175       0.02868       0.02194             0
            18|             0     -0.006691     -0.006763     -0.005785     -0.004888     -0.004221      -0.00375     -0.003428      -0.00322     -0.003102     -0.003063       -0.0031     -0.003215      -0.00342     -0.003739     -0.004206     -0.004867     -0.005753     -0.006711     -0.006597             0
