t: 8.91495
nCells: 20x20, dx: 0.1, dx: 0.1
u (21x22):
            20|     -0.009522     -0.009522     -0.004026     -0.002972     -0.002773     -0.002804     -0.002942     -0.003154     -0.003452     -0.003846     -0.004361     -0.005039     -0.005938     -0.007132     -0.008661      -0.01029      -0.01095     -0.006671      0.009841       0.05002        0.1124        0.1124
            19|     -0.009522     -0.009522     -0.004026     -0.002972     -0.002773     -0.002804     -0.002942     -0.003154     -0.003452     -0.003846     -0.004361     -0.005039     -0.005938     -0.007132     -0.008661      -0.01029      -0.01095     -0.006671      0.009841       0.05002        0.1124        0.1124
            18|     -0.005474     -0.005474       -0.0048     -0.004129     -0.003743     -0.003589     -0.003597     -0.003704     -0.003929     -0.004267     -0.004741     -0.005391     -0.006274      -0.00749     -0.009141      -0.01118      -0.01307      -0.01322     -0.005912       0.01726       0.05376       0.05376
            17|     -0.004224     -0.004224     -0.004052     -0.003758     -0.003581     -0.003526      -0.00358     -0.003726     -0.003972     -0.004334     -0.004839     -0.005541     -0.006495     -0.007836     -0.009716      -0.01218      -0.01475      -0.01607      -0.01359     -0.003021       0.01323       0.01323
            16|     -0.003514     -0.003514     -0.003484     -0.003381     -0.003321     -0.003336     -0.003431      -0.00361     -0.003882      -0.00427     -0.004807     -0.005557     -0.006626     -0.008157      -0.01039      -0.01347      -0.01703      -0.01953      -0.01902       -0.0139     -0.006069     -0.006069
            15|     -0.003017     -0.003017     -0.003032     -0.003015     -0.003024     -0.003084     -0.003206     -0.003401     -0.003683     -0.004075     -0.004619     -0.005383     -0.006494     -0.008173      -0.01074      -0.01445      -0.01907      -0.02289      -0.02351      -0.01942      -0.01399      -0.01399
            14|     -0.002607     -0.002607     -0.002638     -0.002659     -0.002703     -0.002784     -0.002915     -0.003107     -0.003375     -0.003742     -0.004248     -0.004963     -0.006019     -0.007656      -0.01026      -0.01423      -0.01925      -0.02336      -0.02365      -0.01938      -0.01479      -0.01479
            13|     -0.002239     -0.002239     -0.002273     -0.002309     -0.002364     -0.002449     -0.002571     -0.002741     -0.002971     -0.003281     -0.003704     -0.004297     -0.005171      -0.00653     -0.008709      -0.01204      -0.01621       -0.0195      -0.01916      -0.01479      -0.01074      -0.01074
            12|     -0.001893     -0.001893     -0.001926     -0.001964     -0.002016     -0.002089     -0.002189     -0.002322     -0.002497     -0.002726      -0.00303     -0.003447     -0.004045      -0.00495     -0.006367     -0.008482      -0.01105      -0.01285      -0.01173     -0.007597     -0.004285     -0.004285
            11|     -0.001563     -0.001563     -0.001593     -0.001625     -0.001666      -0.00172     -0.001789     -0.001876     -0.001985     -0.002121     -0.002292     -0.002514     -0.002812     -0.003232     -0.003845      -0.00469     -0.005578     -0.005788     -0.004007    -0.0004345      0.002006      0.002006
